,Name,Age,Salary,Age_2,Chuanhoa_Age,Age_group,Percentage_change
0,Alice,25,50000,,0.13043478260869565,Young,
1,Bob,30,60000,,0.34782608695652173,Middle-aged,19.999999999999996
2,Charlie,35,70000,31.533333333333335,0.5652173913043478,Middle-aged,16.666666666666675
3,David,28,55000,,0.2608695652173913,Young,-21.42857142857143
4,Eva,22,52000,,0.0,Young,-5.454545454545457
5,Frank,45,80000,31.533333333333335,1.0,Middle-aged,53.846153846153854
6,Grace,34,72000,31.533333333333335,0.5217391304347826,Middle-aged,-9.999999999999998
7,Hannah,31,68000,31.533333333333335,0.391304347826087,Middle-aged,-5.555555555555558
8,Ivan,27,61000,,0.21739130434782608,Young,-10.29411764705882
9,Jack,29,59000,,0.30434782608695654,Young,-3.2786885245901676
10,Kelly,33,63000,31.533333333333335,0.4782608695652174,Middle-aged,6.779661016949157
11,Liam,40,77000,31.533333333333335,0.782608695652174,Middle-aged,22.222222222222232
12,Mona,26,53000,,0.17391304347826086,Young,-31.16883116883117
13,Nina,32,66000,31.533333333333335,0.43478260869565216,Middle-aged,24.52830188679245
14,Oscar,36,75000,31.533333333333335,0.6086956521739131,Middle-aged,13.636363636363647
